"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R06p07.E06",1.92913220767005e-08,1.57818616830311e-09,0.999999921762225,5.73682665942948e-08,3,"S011-5","B",0.999999921762225
"DI18R06p07.E07",0.999999999996127,3.94650679460214e-36,3.87257811548114e-12,5.26811211221548e-71,1,"S006-1","A",0.999999999996127
"DI18R06p07.E08",0.999995303164665,1.03525888302887e-31,4.69683533478915e-06,1.20386582768494e-49,1,"S005-25","A",0.999995303164665
"DI18R06p07.E09",8.81476150576165e-24,0.999999999830982,1.69018004500833e-10,5.25227451945321e-18,2,"S010-139","C",0.999999999830982
"DI18R06p07.E10",2.02280531035915e-11,0.99921051257233,0.000789487407441945,2.34288493891099e-17,2,"S003-141","C",0.99921051257233
"DI18R06p07.E11",0.917395195122078,6.92644472561883e-20,0.0826048048779222,1.55591158285549e-33,1,"S006-49","A",0.917395195122078
"DI18R06p07.E12",5.97236218682438e-10,1.03571473752969e-09,0.999999998367049,1.00958584233023e-25,3,"S009-125","B",0.999999998367049
"DI18R06p07.F01",1.1984412100149e-09,0.999985279758305,1.47190432537366e-05,1.37155868785179e-26,2,"S003-162","C",0.999985279758305
"DI18R06p07.F02",2.11460127872724e-24,0.999984478148263,1.55218517366922e-05,2.12705099957074e-22,2,"S004-178","C",0.999984478148263
"DI18R06p07.F03",2.57216000037309e-29,0.999999999999646,5.28003660922127e-16,3.53238311684056e-13,2,"S011-93","C",0.999999999999646
"DI18R06p07.F04",0.0702678326531509,3.54013068270716e-26,0.929732167346849,1.64369584397804e-42,3,"S004-106","B",0.929732167346849
"DI18R06p07.F05",0.0480693585386092,3.2228885370189e-13,0.951930641461069,1.61808220951673e-40,3,"S005-101","B",0.951930641461069
"DI18R06p07.F06",0.999999999997428,1.90186075347544e-34,2.57212486076126e-12,1.82989777417013e-71,1,"S003-1","A",0.999999999997428
"DI18R06p07.F07",1.09651660315445e-28,0.999999999987188,1.2812438941348e-11,1.34212838763953e-27,2,"S009-201","C",0.999999999987188
"DI18R06p07.F08",0.99999999536228,1.06139685848217e-30,4.63771955608874e-09,1.51561088919115e-61,1,"S009-8","A",0.99999999536228
"DI18R06p07.F09",7.27353854096988e-19,0.999999408279611,5.91720388922153e-07,8.84008425561656e-18,2,"S005-199","C",0.999999408279611
"DI18R06p07.F10",2.03881954091672e-09,0.00326897847162352,0.99673101948936,1.96514025807119e-13,3,"S003-133","B",0.99673101948936
"DI18R06p07.F11",4.72552010286539e-44,1,7.39163916959092e-22,1.59182617045346e-23,2,"S007-130","C",1
"DI18R06p07.G01",0.00018662806142914,3.70465730597582e-23,0.999813371938571,2.01837320719648e-45,3,"S004-102","B",0.999813371938571
"DI18R06p07.G02",0.999750105704888,2.48628216920196e-27,0.000249894295111573,3.32796856517392e-47,1,"S006-20","A",0.999750105704888
"DI18R06p07.G03",1.34425753058833e-12,8.79688668062544e-08,0.999999912029789,8.94402718306692e-29,3,"S007-86","B",0.999999912029789
"DI18R06p07.G04",0.999997661372491,1.13378700818643e-34,2.33862750905897e-06,5.23147072477686e-50,1,"S005-12","A",0.999997661372491
"DI18R06p07.G05",1.44046498898702e-18,0.99999822744222,1.77255777952809e-06,2.42821905348401e-18,2,"S010-123","C",0.99999822744222
"DI18R06p07.G06",3.68145087429408e-20,0.999968076713509,3.19232864909955e-05,7.10016600454456e-21,2,"S007-74","C",0.999968076713509
"DI18R06p07.G07",0.999999999988273,1.86564470328648e-32,1.17271001299276e-11,7.11405073346543e-69,1,"S006-13","A",0.999999999988273
"DI18R06p07.G08",1.96469626867393e-21,0.99999999873655,1.26345035766663e-09,3.87429043730136e-24,2,"S010-136","C",0.99999999873655
"DI18R06p07.G09",6.73716753775659e-46,3.76583893318207e-29,4.82014304380607e-31,1,4,"S011-11","D",1
"DI18R06p07.G10",0.999988746802228,2.51020839081709e-19,1.12531977723559e-05,5.09801762922543e-54,1,"S007-2","A",0.999988746802228
"DI18R06p07.G11",5.45365528885714e-52,2.63237470633339e-33,2.0821898928867e-34,1,4,"S011-20","D",1
"DI18R06p07.H01",5.19596008250401e-05,9.45729423073564e-27,0.999948040399175,2.72888487859513e-47,3,"S004-38","B",0.999948040399175
"DI18R06p07.H02",1.82831203736633e-28,0.999999999996756,3.24389950153379e-12,7.32955490819199e-24,2,"S010-133","C",0.999999999996756
"DI18R06p07.H03",0.00071243214313979,2.88600055417695e-27,0.99928756785686,3.31561431249181e-44,3,"S004-72","B",0.99928756785686
"DI18R06p07.H04",2.34544827077713e-48,4.40263538710628e-10,1.91827352371101e-26,0.999999999559737,4,"S011-97","D",0.999999999559737
"DI18R06p07.H05",2.06565629788711e-43,1,4.22532706432616e-21,4.70960037973377e-25,2,"S007-129","C",1
"DI18R06p07.H06",1.05201614117202e-35,0.99999999999998,2.00329528482269e-14,5.82427519652754e-20,2,"S004-208","C",0.99999999999998
"DI18R06p07.H07",3.41825061849507e-18,0.999999966797782,3.32022180734317e-08,1.6363316014045e-20,2,"S005-177","C",0.999999966797782
"DI18R06p07.H08",1.04948964872926e-07,0.00696417208291815,0.993035722968117,3.05496009548887e-21,3,"S004-162","B",0.993035722968117
"DI18R06p07.H09",2.57500887022845e-21,0.999999999970709,2.92912091586254e-11,3.38806765593388e-26,2,"S009-195","C",0.999999999970709
"DI18R06p07.H10",0.982692977935921,5.68449093566917e-15,0.0173070220640731,6.66062320164098e-52,1,"S005-126","A",0.982692977935921
"DI18R06p07.H11",0.428091388430124,2.51710894837092e-29,0.571908611569876,2.3125993017245e-43,3,"S004-56","B",0.571908611569876
"DI18R07p09.A01",2.72555607105415e-49,6.78507904882429e-32,2.19468763386246e-33,1,4,"S011-21","D",1
"DI18R07p09.A02",0.99916318608075,1.68791154753717e-27,0.000836813919250224,5.48394417020093e-46,1,"S010-21","A",0.99916318608075
"DI18R07p09.A03",0.000305327584578439,1.3408630613507e-06,0.99969333155236,1.49029299785997e-16,3,"S003-92","B",0.99969333155236
"DI18R07p09.A04",4.4078370603246e-33,0.999999999997864,2.13632360559688e-12,7.25502116945838e-31,2,"S009-181","C",0.999999999997864
"DI18R07p09.A05",0.999999999998771,2.95327605003959e-36,1.22919161244603e-12,1.74981159354172e-72,1,"S006-7","A",0.999999999998771
"DI18R07p09.A06",2.65933759890234e-27,0.999999999999518,4.82249284308105e-13,3.99013216997427e-17,2,"S010-144","C",0.999999999999518
"DI18R07p09.A07",0.000360175478888605,1.24361505034957e-10,0.99963982439675,3.45632378335807e-39,3,"S006-124","B",0.99963982439675
"DI18R07p09.A08",0.993398616337706,8.14363226018514e-27,0.00660138366229446,2.73868901036202e-47,1,"S009-104","A",0.993398616337706
"DI18R07p09.A09",2.26972504409769e-08,1.49408198883926e-08,0.99999996236193,3.13876479734231e-18,3,"S010-95","B",0.99999996236193
"DI18R07p09.A11",1.23307112572574e-35,2.00990699586355e-14,1.04239035532682e-18,0.99999999999998,4,"S011-1","D",0.99999999999998
"DI18R07p09.A12",1.18587762840461e-49,5.63344810045921e-36,2.99260189844513e-32,1,4,"S011-26","D",1
"DI18R07p09.B01",0.00117863267340302,7.07396229734579e-27,0.998821367326597,9.08728142497484e-46,3,"S004-96","B",0.998821367326597
"DI18R07p09.B02",1.13449574553241e-32,0.999999999996878,3.12230111331975e-12,5.63351917500296e-20,2,"S007-118","C",0.999999999996878
"DI18R07p09.B03",0.998149927789752,7.26498437157436e-26,0.00185007221024778,4.59056756840734e-48,1,"S007-48","A",0.998149927789752
"DI18R07p09.B04",0.997982710204251,2.09474948064516e-25,0.0020172897957488,3.48417738235056e-44,1,"S009-74","A",0.997982710204251
"DI18R07p09.B05",2.00960468005904e-16,0.999990195148865,9.80485113465541e-06,3.78757317607535e-23,2,"S003-142","C",0.999990195148865
