"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_10_length_12014_cov_11_767194_S009-201","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_12014_cov_11_767194_S009-201","0"
"NODE_10_length_12057_cov_18_140401_S009-119","Viruses","Siphoviridae","Skunavirus","Lactococcus virus 712","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID71","Singleton_ClusterID85","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_12057_cov_18_140401_S009-119","Lactococcus virus 712"
"NODE_10_length_12146_cov_19_550750_S004-26","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID72","NOTSURE_ClusterID86","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_12146_cov_19_550750_S004-26","0"
"NODE_10_length_12310_cov_7_892831_S003-190","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID73","SURE_ClusterID87","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_12310_cov_7_892831_S003-190","0"
"NODE_10_length_14337_cov_291_621248_S005-3","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_14337_cov_291_621248_S005-3","0"
"NODE_10_length_14830_cov_9_187081_S006-186","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_14830_cov_9_187081_S006-186","0"
"NODE_10_length_16125_cov_37_388647_S009-141","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID74","NOTSURE_ClusterID90","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_16125_cov_37_388647_S009-141","0"
"NODE_10_length_16139_cov_110_020597_S009-179","0","0","0","0","Viruses_ProkaryoticVirus_LB","VC_70_0",NA,NA,"Singleton_ClusterID75","Singleton_ClusterID91","NODE","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_16139_cov_110_020597_S009-179","0"
"NODE_10_length_17777_cov_53_295650_S010-64","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID76","NOTSURE_ClusterID94","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_17777_cov_53_295650_S010-64","0"
"NODE_10_length_17830_cov_66_870332_S007-7","Viruses","Siphoviridae","Phietavirus","Staphylococcus virus 55","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID77","NOTSURE_ClusterID95","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_17830_cov_66_870332_S007-7","Staphylococcus virus 55"
"NODE_10_length_18418_cov_66_797666_S003-110","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID15","NOTSURE_ClusterID20","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_18418_cov_66_797666_S003-110","0"
"NODE_10_length_18721_cov_28_594722_S007-31","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID36","NOTSURE_ClusterID43","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_18721_cov_28_594722_S007-31","0"
"NODE_10_length_19138_cov_12_958554_S004-162","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID78","SURE_ClusterID96","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_19138_cov_12_958554_S004-162","0"
"NODE_10_length_20138_cov_12_752206_S011-10","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID79","NOTSURE_ClusterID97","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_20138_cov_12_752206_S011-10","0"
"NODE_10_length_23157_cov_47_875563_S007-86","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID80","NOTSURE_ClusterID99","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_23157_cov_47_875563_S007-86","0"
"NODE_10_length_2509_cov_3_951480_S004-208","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_2509_cov_3_951480_S004-208","0"
"NODE_10_length_26391_cov_43_133199_S004-153","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_26391_cov_43_133199_S004-153","0"
"NODE_10_length_28267_cov_7_171940_S011-15","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID81","SURE_ClusterID103","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_28267_cov_7_171940_S011-15","0"
"NODE_10_length_29936_cov_28_489702_S010-123","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","VC_317_0",NA,NA,"SURE_ClusterID82","SURE_ClusterID105","NODE","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_29936_cov_28_489702_S010-123","0"
"NODE_10_length_35162_cov_172_783611_S009-78","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID83","NOTSURE_ClusterID108","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_35162_cov_172_783611_S009-78","0"
"NODE_10_length_3518_cov_6_558268_S005-76","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_3518_cov_6_558268_S005-76","0"
"NODE_10_length_4808_cov_7_588459_S006-10","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_4808_cov_7_588459_S006-10","0"
"NODE_10_length_5170_cov_48_494993_S006-176","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_5170_cov_48_494993_S006-176","0"
"NODE_10_length_6081_cov_9_261326_S004-13","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_6081_cov_9_261326_S004-13","0"
"NODE_10_length_6760_cov_18_649110_S004-7","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID84","NOTSURE_ClusterID112","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_6760_cov_18_649110_S004-7","0"
"NODE_10_length_9646_cov_17_687637_S004-122","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_9646_cov_17_687637_S004-122","0"
